15:35:13.958 24.80,51.0,100481.00,82.62,3.43,1,
15:35:24.011 24.79,51.0,100469.00,74.02,3.43,1,
15:35:36.450 24.79,51.0,100477.00,67.14,3.43,1,
15:35:48.953 24.78,51.0,100478.00,60.26,3.43,1,
15:36:01.447 24.77,51.0,100482.00,87.78,3.43,1,
15:36:13.888 24.77,51.0,100473.00,72.30,3.43,1,
15:36:26.389 24.77,52.0,100479.00,98.10,3.43,1,
15:36:36.563 24.76,52.0,100476.00,75.74,3.43,1,
15:36:48.936 24.78,53.0,100480.00,74.02,3.43,1,
15:37:01.389 23.86,54.0,100470.00,92.94,3.43,1,
15:37:13.886 24.78,54.0,100488.00,99.82,3.43,1,
15:37:26.329 24.79,55.0,100484.00,46.50,3.43,1,
15:37:38.825 24.81,57.0,100478.00,55.10,3.43,1,
15:37:51.327 24.81,57.0,100484.00,84.34,3.43,1,
15:38:03.812 24.83,58.0,100472.00,79.18,3.43,1,
15:38:16.267 24.84,58.0,100481.00,98.10,3.43,1,
15:38:26.302 24.85,59.0,100477.00,58.54,3.43,1,
15:38:38.766 24.86,59.0,100471.00,96.38,3.93,1,
15:38:51.260 24.87,59.0,100476.00,46.50,3.43,1,
15:39:03.703 24.88,59.0,100476.00,65.42,3.43,1,
15:39:16.205 24.88,59.0,100474.00,110.14,3.43,1,
15:39:28.708 24.89,59.0,100476.00,67.14,3.43,1,
15:39:41.194 24.89,59.0,100476.00,60.26,3.43,1,
15:39:53.643 24.90,59.0,100475.00,101.54,3.43,1,
15:40:06.139 24.90,59.0,100481.00,72.30,3.43,1,
15:40:18.644 24.90,59.0,100479.00,48.22,3.43,1,
